iteration,loss,data_loss,residual_loss,heldout_state_mse,beta,gamma,beta_abs_error,gamma_abs_error,mass_error
0,1.7063003778457642,0.009439879097044468,0.0034778390545397997,0.05557868777460556,0.6931481957435608,0.3132627010345459,0.12685180425643916,0.1332627010345459,1.1920928955078125e-07
4,1.6381313800811768,0.008615411818027496,0.0033598574809730053,0.053070135281341475,0.6911453604698181,0.3121894896030426,0.12885463953018184,0.1321894896030426,1.1920928955078125e-07
8,1.5706543922424316,0.007890496402978897,0.0032513574697077274,0.050669213192586104,0.689122200012207,0.3111245632171631,0.13087779998779292,0.1311245632171631,1.1920928955078125e-07
11,1.5196436643600464,0.007398451212793589,0.0031726276502013206,0.048912253683488824,0.6875824332237244,0.31033390760421753,0.13241756677627559,0.13033390760421754,1.1920928955078125e-07
