iteration,loss,beta,gamma,data_loss,ode_loss,initial_condition_loss
0,1.286476969718933,0.6931481957435608,0.3132627010345459,0.020213820040225983,0.0032726821955293417,0.12629905343055725
25,0.25399550795555115,0.7064002156257629,0.3068712055683136,0.014331520535051823,0.0027656066231429577,0.023689838126301765
50,0.053778838366270065,0.72242671251297,0.3013858199119568,0.012347095645964146,0.0030434997752308846,0.0038388243410736322
75,0.028897259384393692,0.7383290529251099,0.29623639583587646,0.011119779199361801,0.0028969247359782457,0.001488055451773107
100,0.02225884236395359,0.7528979778289795,0.29116588830947876,0.010267309844493866,0.0025735474191606045,0.000941798381973058
125,0.01902071386575699,0.7656049728393555,0.28627121448516846,0.009581075981259346,0.002283225767314434,0.0007156413048505783
150,0.016943970695137978,0.7768510580062866,0.28157922625541687,0.009043345227837563,0.001998175634071231,0.0005902450648136437
175,0.015338646247982979,0.7864775061607361,0.277138888835907,0.008514116518199444,0.0017538840183988214,0.0005070645129308105
200,0.013927883468568325,0.7939107418060303,0.2729533910751343,0.007954797707498074,0.0015348466113209724,0.00044382395572029054
225,0.012554519809782505,0.7990063428878784,0.2690225839614868,0.007313555106520653,0.0013333946699276567,0.0003907569625880569
250,0.011099626310169697,0.8014248609542847,0.26534566283226013,0.006515009328722954,0.0011488978052511811,0.00034357188269495964
275,0.009504682384431362,0.8005761504173279,0.26191848516464233,0.005509565584361553,0.0009891288354992867,0.0003005988255608827
300,0.008026409894227982,0.795988142490387,0.2587258815765381,0.004552252124994993,0.0008583026356063783,0.00026158554828725755
325,0.006896493025124073,0.7889339327812195,0.2557412087917328,0.0038939150981605053,0.0007301309378817677,0.00022724468726664782
350,0.005879067815840244,0.781781792640686,0.25292906165122986,0.0032831619028002024,0.0006173117435537279,0.00019785940821748227
375,0.00496815238147974,0.7743017673492432,0.25027334690093994,0.0027203503996133804,0.0005204483750276268,0.00017273535195272416
400,0.0041700382716953754,0.766716480255127,0.24776089191436768,0.0022249524481594563,0.00043177203042432666,0.00015133140550460666
425,0.0034864339977502823,0.7596189379692078,0.24537616968154907,0.001794277923181653,0.0003604457597248256,0.00013317102275323123
450,0.002909964881837368,0.7529402375221252,0.24311725795269012,0.0014271095860749483,0.00030498168780468404,0.000117787356430199
475,0.0024283514358103275,0.7467039823532104,0.2409796565771103,0.0011199202854186296,0.00026070274179801345,0.00010477282921783626
500,0.0020316431764513254,0.7410524487495422,0.23895585536956787,0.0008699822938069701,0.00022388523211702704,9.377755486639217e-05
525,0.001710666110739112,0.7361421585083008,0.23703789710998535,0.0006724393460899591,0.00019332663214299828,8.449001325061545e-05
550,0.001455437857657671,0.7320097088813782,0.23521965742111206,0.000520313682500273,0.0001688360789557919,7.662880670977756e-05
575,0.0012550505343824625,0.7285441756248474,0.23349741101264954,0.00040562025969848037,0.00014991361240390688,6.995166040724143e-05
