iteration,loss,state_loss,costate_loss,stationarity_loss,boundary_loss
0,378.16693115234375,0.028537588194012642,33.452308654785156,0.21866270899772644,34.421058654785156
4,362.9575500488281,0.024181997403502464,33.636837005615234,0.1861080825328827,32.889278411865234
8,347.71502685546875,0.019555047154426575,33.804481506347656,0.1558649092912674,31.355913162231445
12,332.47332763671875,0.014898911118507385,33.909080505371094,0.1274271458387375,29.82878303527832
16,317.3523254394531,0.01062020007520914,33.89322280883789,0.10106326639652252,28.32518196105957
20,302.4927062988281,0.007123169023543596,33.716609954833984,0.07744207233190536,26.862741470336914
24,287.98712158203125,0.004630120936781168,33.39482879638672,0.05826462432742119,25.448772430419922
28,273.89605712890625,0.0031150898430496454,32.98678207397461,0.044147033244371414,24.083398818969727
32,260.2957763671875,0.0024053272791206837,32.55863571166992,0.03416568040847778,22.76789093017578
36,247.2935028076172,0.0023038466461002827,32.16134262084961,0.0271498654037714,21.508197784423828
40,235.00567626953125,0.0026586668100208044,31.81698989868164,0.02214040420949459,20.313995361328125
44,223.52272033691406,0.00337005453184247,31.517868041992188,0.018387511372566223,19.195276260375977
