iteration,loss,objective,residual_loss,initial_condition_loss,mean_control
0,93.59596252441406,91.17316436767578,0.044518932700157166,0.1977606862783432,0.5531110167503357
25,29.297821044921875,27.37815284729004,0.010022969916462898,0.18194381892681122,0.2778110206127167
50,11.26349925994873,9.567378997802734,0.002684445586055517,0.16692757606506348,0.1564982831478119
75,6.587082386016846,5.062118053436279,0.001560722477734089,0.15093572437763214,0.11096832156181335
100,4.65065860748291,3.3083059787750244,0.0012117816368117929,0.1330234557390213,0.08820968866348267
125,3.5422677993774414,2.397946834564209,0.001084164367057383,0.11334794759750366,0.07403090596199036
150,2.7909791469573975,1.846940517425537,0.0010616722283884883,0.09334218502044678,0.06416326016187668
175,2.2376883029937744,1.479553461074829,0.001088773482479155,0.0747247114777565,0.05686831846833229
200,1.8154852390289307,1.217201828956604,0.0011333853472024202,0.058694954961538315,0.05125615745782852
225,1.489316701889038,1.0205652713775635,0.0011779686901718378,0.045697178691625595,0.04680699110031128
250,1.2362003326416016,0.8682509064674377,0.0012138176243752241,0.03558113053441048,0.04319281876087189
275,1.0388699769973755,0.7475730776786804,0.0012372713536024094,0.02789241634309292,0.04019607976078987
300,0.8838928937911987,0.6503533720970154,0.0012474851682782173,0.0221064705401659,0.03766725957393646
325,0.7609423398971558,0.5709593892097473,0.0012451339280232787,0.01775316335260868,0.03550073504447937
350,0.6622359752655029,0.5053418874740601,0.0012316267238929868,0.014457784593105316,0.033620063215494156
375,0.58199143409729,0.4505145251750946,0.0012086412170901895,0.01193904783576727,0.031968746334314346
400,0.5159352421760559,0.4042374789714813,0.001177868340164423,0.009991910308599472,0.030504165217280388
425,0.46090465784072876,0.36481019854545593,0.0011408826103433967,0.008468564599752426,0.029193660244345665
450,0.4145447611808777,0.33092761039733887,0.0010990959126502275,0.007262619212269783,0.028011709451675415
475,0.37508609890937805,0.30157753825187683,0.0010537439957261086,0.006297113373875618,0.026938168331980705
500,0.3411850333213806,0.2759672701358795,0.0010058942716568708,0.005515880882740021,0.025956835597753525
525,0.3118099570274353,0.25347018241882324,0.000956461881287396,0.004877516534179449,0.025054609403014183
550,0.28616002202033997,0.23358605802059174,0.000906224362552166,0.004351172596216202,0.02422071434557438
575,0.26360687613487244,0.21591241657733917,0.0008558437111787498,0.003913602791726589,0.023446282371878624
